partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
Paratus Telecom (Pty) Ltd,Paratus Telecomunications (PTY) LTD - ZM,250211262698,https://paratus.africa/,"sales@paratus.africa, info@paratus.africa","+27 12 940 0662, +27 66 282 5276, 250211262698, +2673975030, +258842450488, +264833001000","4124 MUTENGULENI ROAD, SUNNINGDALE, LUSAKA, ZAMBIA"
PNET SYSTEMS LTD,PNET SYSTEMS LTD,+260979150948,https://samuelmwaz.github.io/PNET-Systems/first#services,Patrick.banda@pnetsystems.com,+260979150948,"3B NTOYO ROAD WOODLANDS, LUSAKA ZAMBIA, LUSAKA, ZAMBIA"
ProComm,PROCOMM,+260978966962,https://procomm.cloud/,info@procomm.cloud,"+267 3132926, +260 965177475, +258844511860, +2673132926, +263 242 797996, +260978966962, +2634797792, +27 10 0055760","17 LAGOS ROAD, LUSAKA, ZAMBIA"
Proffesional outcomes Limited,PROFFESIONAL OUTCOMES LTD,+260976073088,https://www.profout.com,mchibbabbuka@profout.com,"+260-966-849742, 000, 260-966-849742, +260-977-849742, +260976073088","8 MUNGULUBE ROAD NORTHMEAD LUSAKA, LUSAKA, ZAMBIA"
R A Consulting Services,R A CONSULTING SERVICES,+260211295000,https://racsafrica.com/,"marketing@racsafrica.com, sales@racsafrica.com, infomad@racsafrica.com, enquiry@racsafrica.com","+267 3939773, +267-3939773, +260-211295000, +230 2643300, +2673939773, +261344286738, +260211295000, +260 211293001, +260 211295000, +23058514385, +261 323814694, +2302643300, +91 9667679690, +971552335065, +267-3939772, +260-211293001, +261323814694, +267 3939772","OLYMPIA PARK, LUSAKA, ZAMBIA"
RAPIDUS AFRICA,RAPIDUS AFRICA,260765154905,https://www.rapidusafrica.com/,sales@rapidusafrica.com,"260765154905, +260765154905","LAKE ROAD, LUSAKA, LUSAKA, ZAMBIA"
SILENSEC ZAMBIA LTD,SILENSEC ZAMBIA LTD,+260973684075,https://silensec.com/,info@silensec.com,"+260973684075, +260 7706 99737, +357 99 883356, (0) 20 8071814, +255 7955 34653","9TH FLOOR SUN SHARE TOWER PLOT 15585, OLYMPIA, KATIMA MULILO RD, LUSAKA, LUSAKA, ZAMBIA"
Smartcom Tech Limited,Smartcom Tech Limited,+260966941433,https://www.smartcom.co.zm,,+260966941433,"House No. 317/26 Mpatamatu, Luanshya, ZAMBIA"
StarLabs Limited,STARLABS LTD,+260950369759,https://www.starlabs.co.zm/,sales@starlabs.co.zm,"+260 966761228, +260211233226, +260950369759","604 BAOBAD DRIVE, ROMA PARK, LUSAKA, LUSAKA, ZAMBIA"
Syntax Timewise Limited,SYNTAX TIMEWISE LTD,+260971763541,https://www.syntaxtimewise.com/,,+260971763541,"PLOT 5550 MAGOYE ROAD, KALUNDU AREA, LUSAKA, ZAMBIA"
SYNTH TECH LTD,SYNTH TECH LTD,+260969446545,https://synthtechzambia.com,,+260969446545,"PLOT NO 4645 TITO ROAD RHODESPARK LUSAKA ZAMBIA, PLOT NO 4645 TITO ROAD RHODESPARK LUSAKA ZAMBIA, LUSAKA, ZAMBIA"
SYSTEMS AND INFORMATION TECHNOLOGY,SYSTEMS & INFORMATION TECHNOLOGY ZAMBIA LTD,+260966896734,https://www.sit-africa.com/,,"+260966896734, +2673907671","2 PLOT 25271 BUILDING, LUSAKA, ZAMBIA"
Techmasters Zambia Limited,Techmasters Zambia Limited,+260974347737,https://www.techmasters.co.zm/,"orders@techmasters.co.zm, info@techmasters.co.zm, inquiries@techmasters.co.zm","+260974347737, +260 772 867414","PLOT # 37861 ALICK NKHATA RD, LUSAKA, LUSAKA, ZAMBIA"
VERTICAL TECHNOLOGY SERVICES LTD,VERTICAL TECHNOLOGY SERVICES ZAMBIA LIMITED,+260969936367,http://www.verticaltechservices.com/aboutus.html,,"+260969936367, +2304542102","C/O MOSHA & COMPANY, PLOT 31, OLYMPIA PARK, MANDA HILL ROAD, LUSAKA, ZAMBIA"
Virtua Technologies,PSC Corporate Park,+260211353015,https://www.virtuatechnologies.com.na/,"sales@virtuatechnologies.com.zm, info@virtuatechnologies.com.na","+260211353015, +26461259501","ALICK NKHATA ROAD, LUSAKA, ZAMBIA"
VIZTRANIX INFORMATION TECHNOLOGY LIMITED,VIZTRANIX INFORMATION TECHNOLOGY LIMITED,773003000,https://www.viztranix.co.zm/,info@viztranix.co.zm,"+260 77 300 3000, 773003000","5978, BENEKALE ROAD, NORTHMEAD, LUSAKA, ZAMBIA"
