partner_name,site_name,site_phone,web_addr,address,search_extracted_emails,search_extracted_phones,_site_country
Satcom Networks Africa Ltd,SATCOM NETWORKS AFRICA LTD,+255786120005,http://www.satconet.co.tz,"1st Floor, Five Star Complex, Plot No. 3, Lot No. 20, Nyerere Road, DAR ES SALAAM, TANZANIA",,"+255222860809, +255786120005",TANZANIA
Scotia Group Limited,SCOTIA GROUP LTD,+255764560848,https://thescotiagroup.com/,"SCOTIA GROUP LIMITED, MSASANI PENISULA,, 429 MAHANDO ROAD, BLOCK D, POBOX 2477, DAR ES SALAAM, TANZANIA",,+255764560848,TANZANIA
SEACOM LTD,SEACOM TANZANIA,+255 22 260 2827,https://seacom.com/,"TOURE DRIVE ROAD, CITI BANK BUILDING, PLOT NO 1962, 1ST FLOOR, OYSTERBAY, DAR ES SALAAM, TANZANIA",,"+254205133000, +255 22 260 2827, 764003495",TANZANIA
SENSORTEC D-FENS SYSTEM LTD,SENSORTEC D-FENS SYSTEM LTD,748057364,https://sensortec.co.tz/,"RAHA TOWER BUILDING, BIBI TITI STREET, FLOOR NO 3, DAR ES SALAAM, TANZANIA",,748057364,TANZANIA
SILENSEC LTD,SILENSEC LTD,+255222214100,https://silensec.com/,"MSASANI PENINSULA, 429 MAHANDO ROAD, BLOCK D, DAR ES SALAAM, TANZANIA",,+255222214100,TANZANIA
SoftNet Technologies Limited,SOFTNET TECHNOLOGY,+255222515100,https://softnet.co.tz/,"144 MIGOMBANI STREET MIKOCHENI, DAR ES SALAAM, TANZANIA",,"255718444440, NA, +255222515100",TANZANIA
SYBYL LIMITED,Sybyl Limited,+255222196866,https://www.sybyl.com,"ZO SPACES,SLIPWAY, MASAKI,YACHT CLUB ROAD,, DAR ES SALAAM, TANZANIA",,"+255222196866, , +251116517314, +254719061500, 00000, 256782344394, +256414305400, +250788305180, +250788387055, +251111111585",TANZANIA
Tech Mahindra Limited,Tech Mahindra Limited,254782774031,https://www.techmahindra.com/,"LAIBON- UTALII HOUSE, OYSTER BAY,, DAR ES SALAAM, TANZANIA",,"587933, +254782774031, 254782774031, 2348122872909",TANZANIA
Tech247 Ltd,247 TECH TANZANIA LIMITED,+255716942922,https://247.tech/,"GEREZANI STREET, 7TH FLOOR, PSSSF TOWERS, SAMORA AVENUE, OPPOSITE RAILWAY STATION, DAR ES SALAAM, TANZANIA",,"256760894464, +254777224747, 0738692764, +255716942922",TANZANIA
TECHNOLOGY ASSOCIATES EA LTD,TECHNOLOGY ASSOCIATES TANZANIA LIMITED,,https://www.techno-associates.com,"SUITE NO 204 RAHA TOWERS , DAR ES SALAAM, TANZANIA",,"+255756315959, +256414348741, +254203745273, +251935341044",TANZANIA
Technology Associates Tanzania Ltd,TECHNOLOGY ASSOCIATES TANZANIA LTD,+255222212594,https://www.techno-associates.com,"5TH FLOOR,AMANI PLACE,OHIO STREET,DAR ES SALAAM, DAR ES SALAAM, TANZANIA",,+255222212594,TANZANIA
TECHNOMAK CONSULTING LTD,TECHNOMAK CONSULTING LTD,+255744966895,https://technomak.co.tz/,"PO BOX 35475, DAR ES SALAAM, TANZANIA",,+255744966895,TANZANIA
TWENTY THIRD CENTURY SYSTEMS,TWENTY THIRD CENTURY SYSTEMS TZ,00255,https://ttcs.co.tz/,"ABSA HOUSE, OHIO STREET, DAR ES SALAAM, TANZANIA",,00255,TANZANIA
UBX TANZANIA LIMITED,UBX Tanzania Ltd,+255768984990,https://www.ubx.co.tz,"MIKOCHENI B, LUCY LAMECK STREET, PLOT 6, DAR ES SALAAM, TANZANIA",,"+255768984990, +250784950594, 2550768984",TANZANIA
