partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
GULF BUSINESS MACHINES,G B M QATAR,00000,https://www.gbmme.com,"dubai@gbmme.com, info@gbmoman.com, pakistan@gbmme.com, marhaba@gbmme.com, bahrain@gbmme.com, abudhabi@gbmme.com, kuwait@gbmme.com","+973) 17584333, 1104780941, +968 24568833, 2002025354, 1394052998, +971) 43433232, 2112409937, 235956395649843, 2231375073, 53180572410356, 2158724697, 189664160563694, +971) 43435353, 661116433, 058264095904, 2474291529, 2122874087, +971) 24084444, +968 24559800, 371460768606283, 1062915392, 1160793658, 1159844434, +965) 1844433, 662883085, +971) 26272498, 2017841906, 47256083758101, +92 21 3432 3801, 07304638948276, 2342131199, 37370525818042, +973) 17584343, 725365642, 256293180731355, 2590195761, +965) 22233280, 865249682486294, 1424112038, 2241612821, 112821256, 2287025273, +92 21 3432 3813, 792913780, 97490268189716, 2313123169","1ST FLOOR, ALMANA TOWER, AIRPORT ROAD, DOHA, QATAR"
al futtaim,AlFuttaim Technologies - Qatar,+97444072052,https://bing.com,,"2147024882, 2234581475, 002220260622, 69881876, 1165519206, 09320476, 83947829","3RD FLOOR, ALFARDAN PLAZA ,ALSADD,, DOHA, STATE OF QATAR , DOHA, QATAR"
Wipro UAE,WIPRO DOHA LLC,+97440297587,https://www.wipro.com,,"906044040, 433314865, 1266782202-356, 717716143, 919734623, 6666666667, 1039866723, 2147483645, 2147483647, 3333333333, 718488253, 758800884, 379913344, 32048284-4298, 801161509, 2147483646","28TH FLOOR, OFFICE #2806 PALM TOWER, DOHA, QATAR"
FLORA TECHNOLOGY COMPANY WLL,FLORA GROUP W.L.L,+97444311905,https://www.floragroup.net,"floraqatar@qatar.net.qa, royal@floragroup.net, florasecurity@floragroup.net, info.decor@floragroup.net, trading@floragroup.net, flora@qatar.net.qa, floratechnology@floragroup.net","44553303, +974) 44607703, +974) 4431 4133, +974) 44607701, +974) 44311905, 44314181, +974) 44504480, +974) 44810674, 44369778, +974) 4435 6289, +974) 44607700, +974) 44314133, 97591227, 44607702","BUILDING NO 127 STREET 330 ZONE 41, DOHA, QATAR"
INFO CENTER NETWORKS AND COMMUNICATIONS,INFO CENTER NETWORKS AND COMMUNICATIONS,+97466571960,https://www.icncqatar.com,sales@icncqatar.com,"+974 44 739 433, +974 66 571 960, 734444439368072, +974 30 029 209, +974 44 154 296","PO BOX 9589 BARWA VILLAGE BUILDING NO 7 SHOP NO 33 DOHA-QATAR, DOHA, QATAR"
City Technlogy,City Technlogy,+97431212433,https://www.citytechnology.qa,info@citytechnology.qa,"0478883570, +974 66239358, 00000057","BUILDING 140 , STREET 340, ZONE 39, DOHA, QATAR"
ETISAQ TECHNOLOGIES,ETISAQ TECHNOLOGIES,+97444955988,https://www.etisaq.com,eben@eyebytes.com,"33333333333334, 33333333333333, 974074074074074, 66666666666666","176 MAIN AIRPORT ROAD, AL EMADI ENTERPRISES BUILDING, DOHA, QATAR"
ALI BIN ALI TECHNOLOGY SOLUTIONS,ALI BIN ALI TECHNOLOGY SOLUTIONS,+97444056704,https://www.alibinali.com,,"36714087, 41148067","ABA TOWER, PO BOX 75, AD DAWHAH, QATAR"
SEAMLESS SECURITY SERVICES,SEAMLESS SECURITY SERVICES,+97444356585,https://www.seamlessqatar.com,,,"NO 206, SHARQ PLAZA BUILDING, BUILDING NO 189, STREET 250, DOHA, QATAR"
IMAR Trading & Contracting COMPANY WLL,IMAR TRADING AND CONTRACTING COMPANY,+97444131770,https://www.groupimar.com,"info@groupimar.com.qa, info@groupimar.com.kw, info@groupimar.com","+974 44131770, 44858600, +961 1379081, 11827675091721, +965 22286658, +961 374500, +965 22286659, +966 112342343, 42124 6531, 974 44369529","Building # 125, AMIR STREET # 251, DOHA, QATAR"
INFOSYS MIDDLE EAST FZ LLC,Infosys Limited,+97440429789,https://www.infosys.com,,"128308317, 6666666667, 2147483645, 1032408873, 2147483647, 3333333333, 2147483646","BUILDING 84, STREET 224, AREA 66, PIAZZA LEVEL, QQ05A, QANAT QUARTIER, DOHA, QATAR"
Digital Track Computer Trading LLC,DIGITALTRACK SOLUTIONS TRADING WLL,+97477717518,https://www.digitaltrackgulf.com,,,"ZONE 24, STREET 830, BUILDING 5,OFFICE 3,FIRST FLOOR, MUNTAZA AREA, RAWDAT AND KHAIL, DOHA- QATAR., QATAR, QATAR"
Alpha Link Technology,ALPHA LINK TECHNOLOGY,+97444644902,https://alphalinktech.qa/,info@alphalinktech.net,"00000087, +974 44644902, 0 0 512 512, 230310134807, 223645 100","OFFICE NO 6 , 2ND FLOOR BUILDING NO 111, BIN OMRAN, BIN OMRAN, QATAR"
ERICSSON AB - DUBAI BRANCH,ERICSSON AB - QATAR BRANCH,+97444576000,https://www.ericsson.com,,"315997505681320, 99999999, 10966220253","SALAM TOWER 17RH FLOOR, DOHA, QATAR"
Itelligent Technologies W.L.L,ITELLIGENT TECHNOLOGIES WLL,+97440206624,https://www.itelligent-tech.com,,"6666666667, 66666667, 33333333, 3333333333, 333333333, 114653191","2ND FLOOR, SALAM PLAZA TOWER 1, WEST BAY, DOHA, QATAR"
Best In Globe Trading & Contracting WLL,BEST IN GLOBE TRADING & CONTRACTING,+97444938950,https://www.big-securitynetworks.com,info@big-securitynetworks.com,+974 4493 8950,"ABDUL RAHUMAN BIN JASSIM STREET, OFFICE F10, BUILDING 54, ZONE 90, STREET 720, DOHA, QATAR"
Tech Mahindra Limited,TECH MAHINDRA,+97450532917,https://www.techmahindra.com,,"18963588, 6666666667, +91-20-66018100, 2147483645, 2147483647, 3333333333, 2147483646","PAM TOWER, DOHA, QATAR"
NEURON TECHNOLOGIES TRADING AND MAINTENANCE,NEURON TECHNOLOGIES TRADING AND MAINTENANCE,+97433883974,https://neuron.com.qa,info@neuron.com.qa,"+974 40028080, +974 40028686","BARWA TOWER , 2ND FLOOR , OFFICE NUMBER 57, AL SAID, DOHA, QATAR"
TS QATAR SYSTEMS & COMMUNICATIONS,TS QATAR SYSTEMS & COMMUNICATIONS,+97444364001,https://www.tsqatar.com,info@tsqatar.com,"00000073, +97444364001, 00000014, 99999999, 53535366","IBN SINA STREET, DOHA, QATAR"
Hayat Communications,HAYAT COMMUNICATIONS,+97444514979,https://digitusg.com,,"00000057, 999999999, 31536000, 02010100, 46039945, 99999999","9TH FLOOR, AL OWAINAH TOWER, NEAR DOUBLE TREE HILTON HOTEL, DOHA, QATAR"
AL-MANA C0MPUTER SERVICES (ACS),ALMANA COMPUTER SERVICES  ACS,+97444489002,https://www.almanacomputerservices.com,,,"AIRPORT ROAD, DOHA, QATAR"
Diyar United trading and contracting company,DIYAR UNITED TRADING AND CONTRACTING COMPANY,9744216908,,,,"FOROSIYA ROAD-NEW RAYYAN, AD DAWHAH, AD DAWHAH, QATAR"
Indus Novateur Software LLC,Indus Novateur Software WL,+97431314605,https://www.indusnovateur.com,,"66593280, 268435456","UILDING NUMBER 43, STREET 310, ZONE 2, DOHA, QATAR"
SPARC TECHNOLOGIES,SPARC TECHNOLOGIES,+97444166414,https://www.sparctech.org,info@sparctech.org,"170187323, +974 44906332, 499531396438613, 10829207662, 3221225472, 920872726-2048","OFFICE#46,BLDG200, STREET 995,ZONE 56, DOHA, QATAR"
Qatar Business Systems WLL,Qatar Business Systems WLL,+97444405290,https://qbs.com.qa,,"230860031, +974 4440 5290, 11700774","THE PEARL, UDC TOWER 1, DOHA, QATAR"
Orange Technology,ORANGE TECHNOLOGY,009744164899,https://www.orangetech-qa.com,,536870912,"OFFICE NO 53, 11TH FLOOR, HLEYTON TOWER, AL SAFLIYA ST, DOHA, QATAR"
PETROTEC PETROLEUM TECHNOLOGY COMPANY,PETROTEC PETROLEUM TECHNOLOGY COMPANY,+97455827523,https://www.petrotec.com.qa,petrotec@qatar.net.qa,,"PO BOX 16069, DOHA, QATAR"
NORDIQA SERVICES AND TRADING WLL,NORDIQA SERVICES AND TRADING WLL,50817968,https://www.nordiqa.qa/,"example@mysite.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, info@nordiqa.qa","33-4565-8529, 45772001687, 948209099709583, 2305195801, 894311752256727, 75444715730729, 642483432159054, 59080414676147, 92466272896509, 000000000000002, 139271827500883, 43187779663633, 66501985890457, 3332510527, 49093395056791, 0740661621094, 94728391758095, 435489572287025, 88233926287641, 320597330729168, 777-6559005, 13022345249033, 098360655737705, 79038157246245, 0304272262717, 3537389287, 33456921, 67646722, 7798717565673, 56234440, 362673563492393, 339638157894736, 912269230234143, 56673166637869, 51707707938105, 48059456438199, 83333333333333, 29178430, 2054135103, 03450551693652, 254506892895016, 91650390625, 6969696969697, 2795113657, 717948717948723, 5007804450487, 3941664436714, 70724334379723, 09714673913044, 60441845, 2545352419, 49815538194444, 635-8505-3391-9791, 3030303030303, 34998010456445, 08087274, 838247391672, 78947368421049, 134593095, 798611111111114, 547129737, 64715205254976, 808277027027028, 38216066270412, 99073791503906, 76923076923077, 808526090271978, 96546170365067, 700-8487-6366, 965191123302418, 502174924, 805068570, 2352141355, 5655517578125, 83174266525274, 887345850461061, 06422263848006, 44552448955912, 298849311999724, 284504173290937, 2015960785, 187478998113062, 899443368828656, 2808041738788, 12472627565, 7-2112895, 2242431640625, 0361328125, 09722222222222, 15705128205128, 11629746835443, 86751324695699, 757833614170174, 28205128205129, 49694223907159, 3310412303, 860116166505325, 000000000000001, 13580342992982, 36004570747217, 3951416015625, 97476545612358, 81316679677336, 04325921631924, 51533754599261, 512018381053377, 4919037953927, 20765913024368, 211954752604164, 3372578893, 11693872089911, 0523904619795, 250868057, 94924982609098, 51351351351353, 26790905, 39469103568321, 201006367341312, 059326171875, 57211417601755, 035790031813363, 961805555555557, 2490108247, 05851408749639, 906640625, 61439022978723, 28915290850178, +974 4038 7150, 769641412, 29411764705883, 0-3402-411, 46-8877-4075, 92405063291139, 39795899735945, 2339026183, 65197846650308, 9392-5604-1148, 300289551161, 54976851851852, 83834388185653, 0367431640625, 15384615384615, 25260416666667, 541593411321322, 76470588235294, 19887546855477, 029856067068181, 27757599, 1238702267, 670734402, 70955784011795, 818135794, 67069773472963, 32775297619048, 86116198070064, 934605867797806, 279149989, 17213018198456, 76185691318328, 41933531850682, 03687985023235, 828701693443335, 32432432432432, 354166666666668, 059433944477824, 84688710354018, 47850622421075, 39751889697648, 107754813637165, 1284158297, 877253696667554, 483288960115804, 33199140213998, 02233374943, 84105245683931, 815198092, 606971153846155, 70673076923077, 58204914618909, 71200017, 9668000136095, 738105392853758, 04086538461539, 25507953, 70715464, 7822301110394, 99999999999, 359619140625, 99927662037037, 844371608061085, 2545230263158, 368138591, 95628415300547, 3712316483, 11017955704604, 19366930445648, 900357466957285, 449936152632798, 844371608061088, 2878224654","ROOM 02, 46TH FLOOR BURJ AL MANA CO, DOHA, QATAR"
IT Solutions Qatar co W.L.L,IT SOLUTIONS QATAR COMPANY WLL,+97455579037,https://www.itsqatar.net,,,"OFFICE #23,SALWA ROAD, MIDMAC ROUNDABOUT POBOX 23176 DOHA, QATAR, DOHA, DOHA, QATAR"
SAPIR TECHNOLOGY,SAPIR TECHNOLOGY,+97444435627,https://www.sapirtechnology.com,"team@latofonts.com, info@sapirtechnology.com, impallari@gmail.com, filler@godaddy.com","758364312267658, 666666666666664, 287671232876712, 33333333333333, 984009840098401, 488847293713929, 333333333333332, 970873786407767, 43478260869565, 33333333333334, 838709677419355, 225352112676056, 365853658536586, 992700729927007, 764705882352941, 716981132075472, 66666666666666","Office No: 12, First Floor, Old Karwa Building, Al Mansoura, Doha, Qatar, DOHA, QATAR"
VENTUMTECH TRADING AND CONTRACTING,VENTUMTECH TRADING AND CONTRACTING,+97444323206,https://www.ventumtech.com,"secure@ventumtech.com, info@ventumtech.com","6059029727, 66032173827, 66032173, 660321735, +974 44323206, 66032175, 66032172, 400940113, +974 44323208","4TH FLOOR, BURJ AL ASMAKH, MAAJLIS AL TAAWON, WEST BAY, DOHA, DOHA, QATAR"
FAMILY COMPUTERS,FAMILY COMPUTERS,+97444324070,https://www.fccqatar.com,"training@fccqatar.com, support@fccqatar.com, sales@fccqatar.com, software@fccqatar.com, info@fccqatar.com","+974-4437-0779, +974 4443 5361, 0974-4443-5361, +97444435361, +974 4443-2516, +974-4432-4070, +974-4432-5634, 0974-4432-4070, +974-4443-5361, 983325863, 522581616242185, +974 4432-4070, 288500363966243","PO BOX 14337, AD DAWHAH, QATAR"
INTERNATIONAL TURNKEY SYSTEMS,INTERNATIONAL TURNKEY SYSTEMS,9744837796,https://WWW.ITS.WS,info@its.ws,"+965 224 027, 00000066, +965 224 091","PO Box 22064, Doha, QATAR"
BLACK ARROW,BLACK ARROW INTEGRATED TECHNOLOGY SERVICES WLL,+97433267576,https://www.blackarrow.com.qa,ba@blackarrow.com.qa,+974-44365900,"AL MAIRA BUILDING AL AMIR STREET, D-RING ROAD, DOHA, QATAR"
CADD EMIRATES COMPUTER TRADING LLC,CADD EMIRATES WLL,+97444375552,https://caddemirates.com,"noumi@dmsapiens.com, info@caddemirates.co.ae","3911818176, 170 170 170, 333333333333, 66666667, 39118192, 39118198, 285714285714, +971 4 447 1400","DOHA, DOHA, QATAR"
Syscom Distributions LLC,Syscom Distribution WLL,+97433450411,http://www.sysllc.com/,sales@sysllc.com,"239318942, 10070761","OFFICE 43, SOFITEL COMPLEX, WADI MSHEIREB ST,, DOHA, QATAR"
Schneider Electric Systems Middle East FZE,L&T Electrical & Automation,+97444792773,http://www.schneider-electric.ae/en/,,"01413425, 31778532, 271724463, 154975483, 9902700403, 349641315, 19500843, 8749945746, 2147483647, 263824051, 6457794307, 99137748, 44435072074, 332735252, 195508194948, 26426075, 6446592650506, 162242309, 597665621, 998-25187850, 207932103, 55053174, 64112341, 48127309, 26426255, 546139367, 39294612, 906499476, 802458550, 65575423444, 78515594, 1206641746, 012648690, 03699097, 00886106, 58464945691, 3786544523, 9058246570, 665280641, 57166234995967, 66952440, 89464582, 48127370, 20000000, 137943580, 7861730625, 104130175, 1097563634, 271724465, 34043529, 331561011, 78673654-4631-408, 39294413, 0064561979, 681208070, 135613915, 31301231816, 191501284, 30000000, 77447081, 4811156399654, 48-5190-4324, 28294130480, 724037094, 000268325, 162242064, 19500804, 27442923, 476586896, 23941359, 95712699, 1084171152, 46218835, 998-24321585, 6099281060, 041967594, 151300144, 39294463, 23643079, 13892047, 269410345, 5428508740, 142841167, 35210207, 117451134, 790795946, 39982702","LARSEN & TOUBRO BUILDING, STREET NO 230,, C-RING ROAD, OPP GULF CINEMA,, DOHA, QATAR"
I4 SOLUTIONS WLL,I4 SOLUTIONS WLL,+97444405060,https://www.i4.com.qa,info@i4.com.qa,"+974 4440 5060, 78262299, +974 4440 5070, 9999999999","BUILDING#122, STREET 100 , PEARL BLVD, DOHA, QATAR"
Johnson Controls,JOHNSON CONTROLS QATAR,9744433177,http://www.johnsoncontrols.com,,+1 866-227-2750,"PO BOX 53505, AD DAWHAH, QATAR"
Dyarco Technology WLL,DYARCO TECHNOLOGY WLL,+97440345555,https://www.dyarcotech.com,"engitech@oceanthemes.net, info@dyarcotech.com","+10140-1018, 800-456-478, +974) 4034 5555, 59667 100, +974 4034 5555, +10190-1019","PO BOX 3841, DOHA, QATAR"
Sirti MENA for Projects,Sirti MENA,+97444715070,https://www.sirti.com,,,"Al Emadi Financial Square, Block 2, C-RING Road, Doha, QATAR"
Emerson,Emerson Process Management Qatar WLL,+97444576718,https://www.emerson.com,,"2147483647, 18290315, 18290711, 18290360, 18290378, 51 111 163, 18290708, 18290714, 32272515, 7000000178814, 255 255 255, 18290318, 18290357, 18290375, 18290717","15TH FLOOR AL WOSAIL TOWER, AL SHAM ST, WEST BAY, POBOX 32281, DOHA, QATAR"
NCR ATLEOS,NCR QATAR LLC,9744413973,https://www.ncratleos.com,,"+1-833-627-2853, 71698789921, 1-832-308-4998, 0-1706-735, 6666666667, 1-833-627-2853, 2147483645, +1-832-308-4998, 2147483647, 3333333333, 117647062, 99999999, 2147483646","ABDULLAH ABDULGHANI BUILDING, 6TH FLOOR, DOHA, QATAR"
Computer Arabia,COMPUTER ARABIA,+97444667555,https://www.carabia.com,info@carabia.com,"+974 44900208, 98802827","MASHAEL STREET OPP AL ALRAB 14, DOHA, QATAR, QATAR"
IBM Middle East FZ.LLC,IBM QATAR SSC,9744527970,http://www.ibm.com/,xxx@ccc.com,"1069499076, 440609733, 999999999, 446952913, 410864984, 3333333333, 6666666667, 1159259241, 430496588, 2147483647, 477341867, 7777777778, 146001191, 191485972, 4879956390802, 11072028771, 1039368403","LEVEL 14, COMMERCIAL BANK PLAZA, WEST BAY, DOHA, QATAR"
Fusion Tech,FUSION TECH WLL,+97444699199,https://www.fusiontech.qa,info@fusiontech.qa,"+974 33770598, 84288654","OFFICE NO 03, BUILDING NO 06,, ZONE 55,STREET 467,PO BOX 1748,SALWA ROAD, DOHA, QATAR"
Informatica Qatar,INFORMATICA QATAR,+97444313597,https://www.i-q.com,info@i-q.com,"+974) 4431 7760, +974) 4431 3597","14TH FLOOR, AL AQARIA TOWER, AL MUTHAF STREET, OLD SALATA, DOHA - QATAR PO BOX 23604, DOHA, QATAR"
INTEGRA PROJECTS & FACILITY MANAGEMENT W.L.L,INTEGRA PROJECTS & FACILITY MANAGEMENT WLL,+97444437364,https://integraprojects.net/,info@integraprojects.net,"45001-2018, 14001-2015, +974 4443 7364","BLDG-152, 1ST FLOOR,, OFFICE#101, AL MUNTAZAH, DOHA, QATAR"
Thasaamah Technology,THASAAMAH TECHNOLOGY,+97444789683,https://www.thasaamahtechnology.com,info@thasaamahtechnology.com,"00974 4478 9683, +974 44789683, 3333333333","SALAT JADID, D RING ROAD,, BUILDING NO 390, STREET NO 250, DOHA, QATAR"
AL KAUN TELECOMS,AL KAUN TELECOMS,+97444428252,https://www.alkaun.com,info@alkaun.com,"+974 4444 8584, +974 4442 8252","BUILDING NO. 119, STREET NO. 250, ZONE 45, D RING ROAD, OLD AIRPORT, DOHA, QATAR"
MANNAI TRADING COMPANY LTD W L L,MANNAI TRADING COMPANY LTD W L L, ,https://www.mannai.com,,"1495086693048, 2-9937-9425, 62057895, 38594095, 582-122401, 1499570345837, 758702626, 255 255 255, 1495115760328, 6-4267-434, 65815790","P O BOX76, RAMADA JUNCTION, OPPOSIT JARIR BOOK STORE, DOHA  QATAR, QATAR"
Eshhar Security Services,ESHHAR SECURITY SERVICES,+97444442324,https://www.eshharholding.com,info@eshharholding.com,"+974 4444 2324, +974 4411 0000","AL MUNTAZA, DOHA, QATAR"
VISTAS INFRASTRUCTURE,VISTAS INFRASTRUCTURE,+97433109312,https://www.vistasinfra.com,info@vistasinfra.com,255 255 255,"FLOOR-9, TOWER-3, GATE MALL, DOHA QATAR, GATE MALL, DOHA, QATAR"
ALM Data Systems,ALM Data Systems,+97444210929,https://alm-ict.com,"sales@alm-ict.com, info@almfzc.com","+974 44210929, 991782102008429, 999999999, +971 45756942, +974 4421 0929, 99999999, 2000000000","AL JASSIM TOWERS, AL SADD, DOHA, QATAR"
MALOMATIA QSC,MALOMATIA QSC,+97444992888,https://www.malomatia.com,info@malomatia.com,"2147227666, +974 4499 2888, 032886 100","Manarat Lusail Tower, Zone 69, Street 318, Building 23, Floors 26th to 30th,, DOHA, QATAR"
BAYANAT AIRPORTS,Bayanat Engineering Qatar LLC,+97444273784,https://bing.com,,"2147024882, 2234581475, 002220260622, 69881876, 1165519206, 09320476, 83947829","PO BOX 201740, DOHA, QATAR"
HAMAD AND MOHAMAD AL FUTTAIM COMPANY LLC,HAMAD AND MOHAMAD AL FUTTAIM COMPANY LLC,,https://afet.com,,"225787063, 00000000, 877702491, 6153846154, 762876498",HAMAD AND MOHAMAD AL FUTTAIM COMPANY LLC qatar
Gulf Business Center,GULF BUSINESS CENTER,,https://bing.com,,"2147024882, 2234581475, 002220260622, 69881876, 1165519206, 09320476, 83947829",GULF BUSINESS CENTER qatar
MEKDAM TECHNOLOGY W.L.L,MEKDAM TECHNOLOGY W.L.L,,https://mekdamholding.com,info@mekdamholding.com,"+974 4405 9111, +974 4405 9222, +974 4405 9000, 77359562, 77359568, 77359567, 77359555, 77359558, 77359580, 77359571, 77359556, 77359577",MEKDAM TECHNOLOGY W.L.L qatar
TEKSALAH LLC,TEKSALAH QATAR,+97444457801,https://www.teksalah.com,solutions@teksalah.com,"+971 2 4930114, +971 4 2394800","4TH FLOOR, TRANSWORLD TOWER 1, NEAR NATIONAL MUSEUM, STREET NO 930, BUILDING 4, ZONE 17, DOHA, QATAR"
BT UAE LTD DUBAI BRANCH,BT Global Services (North Gulf) LLC,08001693031,https://www.bt.com,,"020 7356 5000, 6666666667, 2147483645, 2147483647, 3333333333, 0330 1234 150, 2147483646","1413, 14TH FLOOR AL FARDAN OFFICE TOWER, DOHA , QATAR, DOHA, QATAR"
Data Plus Network Solutions,DATA PLUS NETWORK SOLUTIONS,+97444163256,https://www.dns.com.qa,info@dns.com.qa,"168696663, +974 7729 7637, +7776000000, +974 4002 0565","PO BOX 45143, DOHA, QATAR"
CEGELEC QATAR,CEGELEC QATAR,+97444310909,https://www.vinci-energies.com,,31536000,"Markaz Almana Building 4th Floor (Office 402), Al Matar Street, DOHA, QATAR"
Meeza QSTP LLC,MEEZA,+97440040000,http://www.meeza.net/,,"00000030000001, 00400000100, 300000005, 66356161732, 742077726, 01010101, 38323137062, 657468696, 300000006, 0700545350445, 235300000002, 300000008, 757220737570706, 32346515, 672077656, 803000000000, 545350442, 10130000000, 737570706","QATAR SCIENCE AND TECHNOLOGY PARK QSTP, TECH 2, OFFICE 106, QATAR, QATAR"
MAKSYS TECHNOLOGIES WLL,MAKSYS TECHNOLOGIES WLL,+97444515922,https://www.maksys.qa,sales@maksys.qa,"+97466021355, +974-44515922","OFFICE NO 7, 2ND FLOOR, DOHA ADMIN TOWER, GRAND HAMAD STREET, DOHA, QATAR"
DYNAMIC SOLUTIONS,DYNAMIC SOLUTIONS,97317295603,https://www.dynamicssolutionsgroup.com,sales@dynamicssolutionsgroup.com,+973-17295603,"AL ISTEQLAL ROAD, DOHA, QATAR"
Vodafone Qatar P.Q.S.C,VODAFONE QATAR QSC,+97477775112,https://www.vodafone.qa,,"00000026, 37373752, 146 146 146, 00096377, 244 244 244, 00089645, 00089128, +974 4406 9938, 00100405, 00000050, 45454582, 70000 100, 3 155151876393, 255 255 255","QATAR SCIENCE AND TECHNOLOGY PARK, AD DAWHAH, QATAR"
Ooredoo,Ooredoo,+97444400400,https://www.ooredoo.qa,customer.service@ooredoo.qa,"863231073067, 44380000, 2999999970198, +974 44200700, 08519932, 80808087, 74622363","Ooredoo Tower,  West Bay, Next to Four Seasons Hotel, PO BOX 217, AD DAWHAH, QATAR"
