partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
Datamount SAOC,Datamount SAOC,96872667672,https://www.datamount.om/,,96872667672,"Plot 16, Moaskar Al Mortafa’s, Mawaleh, Al Bandar Investment Area, Al Seeb, OMAN"
DECOIL SYSTEMS SPC,DECOIL SYSTEMS SPC,+96893667705,https://www.decoil.co/,,+96893667705,"MUSCAT MADINAT AL IRFAN, MUSCAT, OMAN"
DIMENSION DATA MIDDLE EAST LLC,DIMENSION DATA OMAN,+97317518777,https://services.global.ntt/en-us/,,"+97317518777, 4692-4613","OFFICE 612, 6TH FLOOR, BUILDING 247,ROAD 1704, DIPLOMATIC AREA 317, MANAMA, BAHRAIN"
Diyar United trading and contracting company,Diyar United Trade & Con Co.,+97126333505,https://www.diyarme.com,,+97126333505,"AL NAJDAA STREET AL MASOUD BLDG OF, ABU DHABI, ABU DHABI, UNITED ARAB EMIRATES"
Duqm Data Centre SAOC,Duqm Data Centre SAOC,+96894503050,https://data2cloud.om/,,+96894503050,"THE SPECIAL ECONOMIC ZONE AT DUQM / AL-DUQM / AL WUSTA GOVERNORATE, MUSCAT, PANORAMA MALL, MUSCAT, OMAN"
EASY WORLD TRADING LLC,EASY WORLD TRADING LLC,+96824299170,https://www.eworldme.com/,,+96824299170,"NO 511, 5TH FLOOR, BUSINESS CENTER BUILDING, DOHAT AL ADAB ST,, AL KHUWAIR, MUSCAT, OMAN"
eCity for IT Services,ECITY FOR IT SERVICES,+96822533950,http://ecityoman.com/,,+96822533950,"PO 1208 PC 132, MUSCAT, MUSCAT, OMAN"
ERICSSON AB - DUBAI BRANCH,ERICSSON,+96522465465,https://www.ericsson.com,,+96522465465,"JABER AL-MUBARAK STREET, BEHBEHANI COMPLEX-SHARQ, KUWAIT, KUWAIT"
Fireware LLC,FIREWARE LLC,+96824483200,https://fireware.com/,,+96824483200,"PO BOX 252, AL KHUWAIR, OMAN"
Gerab System,GERAB NATIONAL ENTERPREISE LLC,null,https://www.gerabsys.com/,,null,"RUWI, OFFICE NO 2B2- CORAL BUILDING, AL KHUWAIR, MUSCAT, OMAN , MUSCAT, OMAN"
GULF BUSINESS MACHINES,GULF BUINESS MACHINES OMAN CO LTD,+97317584333,https://www.gbmme.com/,,"+97317584333, 2112409937, 058264095904, 2231375073, 2474291529, 2287025273","MS CENTER,5TH FLOOR BUILDING 22,, AVENUE 58, AL SEEF DISTRICT, 436, AL MANAMAH, BAHRAIN"
Honeywell.ME,HONEYWELL OMAN,+96522421327,https://www.honeywell.com/us/en,,"2236631101, 229922639, 2211702253, +96522421327, 315095274","P.O. BOX 20825, SAFAT, KUWAIT"
imtac llc,IMTAC LLC,+96824707727,https://www.imtac.com/,,+96824707727,"Post Box 196, Salalah Building, Minal Al Fahal, Muscat, OMAN"
Indus Novateur Software LLC,Indus Novateur LLC,+96893216605,https://www.indusnovateur.com/,,+96893216605,"503, AL NAWRAS COMMERCIAL CENTER,, MUSCAT, OMAN"
Infocomm Solutions LLC,INFOCOMM GROUP,+96824151029,https://www.i-grp.com/,,+96824151029,"FACILITY BUILDING, LG FLOOR, KOM5, RUSYAL, MUSCAT, OMAN"
Intech LLC,Intech LLC,+96824495116,https://www.intech.om,,+96824495116,"Muscat, Muscat, OMAN"
Integrated Systems L.L.C,Integrated Systems L.L.C,+96824603205,"https://Madinat Sultan Qaboos, Inshirah Street, Villa 327, P.O. Box: 1019 P.C. 131 Oman",,+96824603205,"Madinat Qaboos Al Inshirah St. Villa 327, P.O.Box 1019, PC 131, Muscat, OMAN"
INTERNATIONAL INFORMATION TECHNOLOGY CO. LLC,OHI INTERNATIONAL INFORMATION,+96824609497,https://iitcoman.com/,,+96824609497,"87, OHI Telecom House, Dohat Al Adab Street, AlKhuwair, MUSCAT, OMAN"
INTERNATIONAL TURNKEY SYSTEMS,INTERNATIONAL TURNKEY SYSTEMS,+97317273280,https://its.ws/,,+97317273280,"Kfh Bldg., Manama, BAHRAIN"
INTERTEC SYSTEMS L L C,INTERTEC SYSTEMS LLC,+97317228070,https://www.intertecsystems.com/,,+97317228070,"707, Manama Center 1, Government Road,, MANAMA, Manama, BAHRAIN"
INTERTECH LLC,INTERTECH LLC,+96824692018,https://intertechoman.com/,,+96824692018,"4TH FLOOR, BAIT ATEEN BUILDING, BUILDING #233, WAY #3341,, NEAR ZAKHER MALL, AL KHUWAIR, MUSCAT, SULTANATE OF OMAN, MUSCAT, OMAN"
KHIMJI RAMDAS LLC,KHIMJI RAMDAS LLC,+96822336815,https://ict.kr.om,,+96822336815,"KR INFRA, GHALA, MUSCAT, OMAN"
Looppe Design & Technology,Looppe Design & Technology,+96892774810,https://www.looppe.com,info@looppe.com,"+97142277527, +971502029780, +971 502029780, +914713510876, +91 8129 49 1342, +968 92774810, +918129491342, +96892774810","OFFICE 8, BUILDING 1439, SEEB 42, AL-MAABELA, OMAN"
Majees Technical Services,MAJEES TECHNICAL SERVICES LLC,+96824597226,https://www.majeestech.com/,,+96824597226,"AL KHUWAIR BLDG 1135 AL AZAIBA AREA, PO BOX 1045, MUSCAT, OMAN"
MHD Infotech LLC,MHD INFOTECH LLC,0096821147700,https://www.mhdinfotech.com,sales@mhdinfotech.com,"0096821147700, +968 21147700","4TH FLOOR, ELITE OFFICES BUILDING, ALKHUWAIR, MUSCAT, OMAN"
Middle East Telecommunication company LLC,Middle East Telecommunication company LLC,+96891117724,https://metcotech.om/,,+96891117724,"SULTANATE OMAN, 701,7TH FLOOR, MAJAN1 BULLDING, MUSCAT, OMAN"
MIDDLE EAST TELECOMMUNICATIONS CO. W.L.L.,Al Massila Technology Co. L.L.C.,+9651813300,https://www.metco.net,,+9651813300,"Ardiya, Industrial Area, Block 2, Buidling 163, Ardiya, KUWAIT"
Mohsin Haider Darwish L.L.C,Mohsin Haider Darwish L.L.C,71557300,https://www.mhditics.com/technology-communications,,71557300,"HAMRIYA, MUSCAT, OMAN"
Mustafa Sultan Office Technology Co. L.L.C.,MUSTAFA SULTAN OFFICE TECHNOLOGY COMPANY LLC,Mustafa Sultan Offic,https://www.mustafasultan.com/,,Mustafa Sultan Offic,"PO 3340, AL KUWAIR, OMAN"
Nasma Telecommunication LLC,NASMA TELECOMMUNICATION LLC,+96822084800,https://www.nasmatel.com,,+96822084800,"FFDHL A/C NO 969114677 MUSCAT SULTANATE OF OMAN, MUSCAT, OMAN"
NATIONAL TELEPHONE SERVICES COMPANY L L C,"REX ROAD, RUWI, MUSCAT",+96824867179,https://www.omzest.com/nts.htm,,+96824867179,"MAZOON TRAVEL BUILDING,, PO 2786, RUWI, OMAN"
NCR ATLEOS,"Cardtronics, Inc. (Oman Branch)",+97317224233,https://www.ncratleos.com/,,"6672277574, +97317224233, 1-832-308-4998, 87991081, +18336272853, 1483272796, 823497087, 4626754437, 1399150019, 864264170, 911026732-1920, +18323084998, 2184924640, 682395891, 1-833-627-2853","CITICENTER BUILDING FLOOR 6, PO BOX 265, AL MANAMAH, BAHRAIN"
NETLINX,NETLINX,+96824835848,https://www.netlinxoman.com,sales@netlinxoman.com,"(968) 24835848, (968) 24835938, +96824835848","HAMRIYA, MUSCAT, OMAN"
NXS,NXS,+96824901133,https://www.nxs-me.com,,+96824901133,"Digital Nexus LLC (NXS), 18th November St., North Al Azaiba, Sultanate of Oman, Muscat, OMAN"
OMAN COMPUTER SERVICES L L C,OCS INFOTECH,+96824471300,https://www.ocsinfotech.com/,,+96824471300,"BUILDING NO. 945 WAY 4509 STREET, AL KHUWAIR BLOCK 245, MUTTRAH, OMAN"
Oman Data Park,KNOWLEDGE OASIS MUSCAT,+96824171128,https://omandatapark.om/,,+96824171128,"KOM 4, KOM4, MUSKAT, OMAN"
OMAN FIBRE OPTIC COMPANY SAOG,OMAN FIBER OPTIC COMPANY SAOG,+96899880561,https://www.omanfiber.com,,+96899880561,"ROAD NO, 4C RUSAYL INDUSTRIAL AREA, MUSCAT, OMAN"
Omantel,OMANTEL,+96824243424,https://www.omantel.om/en,,+96824243424,"OMANTEL HQ, AL-MAWALEH, MUSCAT, OMAN"
OMNIX INTERNATIONAL,Omnix International LLC,+96824566911,https://omnix.com,,+96824566911,"WADI ADI, MUTTRAH, MUSCAT, OMAN"
ORB COMMUNICATIONS NETWORK LLC,ORB COMMUNICATIONS NETWORK LLC,+96822055927,https://www.orbcom.net/,,+96822055927,"PO BOX 1510, AZIABA, MUSCAT, OMAN"
Oregon Systems,OREGON SYSTEMS SPC,+973 17744905,https://www.oregon-systems.com/,,+973 17744905,"OREGONSYSTEMS, MANAMA, BAHRAIN"
Oriental Oryx Intl LLC Aptus Infotech,ORIENTAL ORYX,+96824238998,https://www.aptusinfotech.com/,info@aptusinfotech.com,"+968 9941 8481, +968 24238998, 96899418481, +96899418481, +96824238998","PO BOX 47 JIBROO 114, MUSCAT, OMAN"
Page ME LLC,PAGE Middle East LLC,+96895508491,https://www.pagemiddleeast.com/,,+96895508491,"Office 31, Building 21, Qurm, MUSCAT, OMAN"
Precedence Technologies LLC,Precedence Techologies,+97477033239,https://www.precedenceuae.com,,+97477033239,"#104 Building 430, Retaj Commercial Building, Al Murra, DOHA, QATAR"
professional technology services Anzyma,PROFESSIONAL TECHNOLOGY SERVICES ANZYMA,+96824942600,https://www.anzyma.com/,,+96824942600,"AL KHUWAIR, MUSCAT, SULTANATE OF OMAN, AL-KHUWAIR, OMAN"
ProVise Integrated Solutions LLC,PROVISE INTEGRATED SOLUTIONS LLC,+96824700953,https://provisev.com/,v.kumar@provisev.com,"0096899832003, +96824700953","OFFICE NO10, BUILDING NO 1304, WAY NO 2520, DARSIT, MUSCAT, SULTANATE OF OMAN, MUSCAT, OMAN"
RAKAIZ DEVELOPMENT PROJECTS SPC,RAKAIZ DEVELOPMENT PROJECTS SPC,+96897153999,https://flowit.om/,,+96897153999,"POBOX 24 PC 105, BOUSHER STREET, MUSCAT, OMAN, MUSCAT, OMAN, MUSCAT, OMAN"
Salama Integrated Solutions LLC,SALAMA INTEGRATED SOLUTIONS LLC,+96824709753,https://www.sis.co.om/,info@sis.co.om,"+968 24709753, +96824709753","GOUBRAH, MUSCAT, OMAN"
Schneider Electric Systems Middle East FZE,SEMEA Electrical & Automation (Oman Branch),+96524741373,http://www.schneider-electric.ae/en/,,+96524741373,"BUILDING NUMBER 1670, STREET NUMBER 7,, BLOCK NUMBER 1, AL RAI INDUSTRIAL AREA, , KUWAIT, KUWAIT"
Securado,SECURADO,+96894294280,https://www.securado.net,,+96894294280,"KNOWLEDGE OASIS MUSCAT KOM, MUSCAT, OMAN"
Simpra Advanced Technology LLC,SIMPRA ADVANCED TECHNOLOGY LLC,+96824155888,https://www.simpra.om/,,+96824155888,"KOM 4 RUSALY ZONE-1 107, PO BOX 12,PC 135, MUSCAT, OMAN"
Site Technology Ltd.,Site Technology LLC,+96822842333,https://www.site-technology.com/,,"+961 2 6346900, 971 2 6346900, +966 11 2163800, 349426837, +96822842333, +971 4 551 5173, +96126346900, +966 13 8300118, 301985765, +968 2 2842333, +961 1 615999, 0102030405, 974 4 4329990, 2489781047","AL NOOR BUILDING,1ST FLOOR , OFFICE NO17, AL QURUM AREA , MUSCAT, OMAN"
SMART DIGITAL TECHNOLOGIES,SMART DIGITAL TECHNOLOGIES,+96822512776,https://smart-digitech.com/,,+96822512776,"GHUBRAH, MUSCAT, MUSCAT, OMAN"
SPECTRUM TECHNICAL SERVICES,SPECTRUM TECHNICAL SERVICES,+96891922785,https://spectrumtech.om/,,+96891922785,"AL AZAIBAH, PO BOX 2967, MUSCAT, OMAN"
Supreme System Distributors SPC,SUPREME SYSTEM DISTRIBUTORS SPC,+96824788310,https://sysllc.com/om/,,+96824788310,"RUWI PLAZA, SHOP NO 105,106 OPPOSITE DOFAR BUILDING,, RUWI, OMAN"
Syscom Distributions LLC,Supreme System Distributors SPC,+96824781836,http://www.sysllc.com/,,+96824781836,"AL SHUMOOR BUILDING 6TH FLOOR OFFICE, 62 OPP CHAMBER OF COMMERCE, MUSCAT, OMAN"
Target Development Company,Target Development Company,+96899254444,https://WWW.TDCOMAN.CO,,+96899254444,"OFFICE NO: 01-6 - 1ST-floor Al-Seddah Furniture building, Al Rubat Street, Salalah - Sultanate of Oman, SALALAH, OMAN"
Tech Cloud Solutions LLC,TECH CLOUD SOLUTIONS LLC,+96898235616,https://manchigroup.com/,,"+96895343089, +96898235616, 96895343089, +968 9534 3089, +968-9534 3089","FLAT NO 702, BUILDING NO 2112, WAY NO 5026, GHALA, NEAR CENTARA HOTEL, MUSCAT, OMAN"
Tech IT Support Advanced & Services LLC,TECH IT SUPPORT ADVANCED & SERVICES LLC,+96822312530,https://tech-itsupport.com/,,+96822312530,"MUSCAT GRAND MALL, AL TAKWEEN BUSINESS CENTER,5TH FLOOR, BUILDING NO -4, AL-KHUWAIR, OMAN"
Tech Mahindra Limited,TECH MAHINDRA LTD,+97450532917,https://www.techmahindra.com/,,+97450532917,"PAM TOWER, DOHA, QATAR"
TEKDEL COMPUTERS TRADING LLC,Global Technology Solutions LLC,+96824782252,https://www.tekdeliver.com/,,+96824782252,"CBD, MUSCAT, OMAN"
THE OVERALL REAL VISION LLC,THE OVERALL REAL VISION LLC,+96824298257,https://www.torv.net/,,+96824298257,"PC-112 AL KHUWAIR, MUSCAT, SULTANATE OF OMAN, MUSCAT, OMAN"
THREEDOTS TECHNOLOGY LLC,THREEDOTS TECHNOLOGY LLC,+96824290577,https://www.3dotstech.com,,+96824290577,"AL MAHA STREET, AL KHUWAIR, MUSCAT, OMAN"
Urich Computer LLC,URICH COMPUTER SYSTEMS Co LLC,+96824700365,https://www.urichco.com/,,+96824700365,"PO BOX 413, MUSCAT, OMAN"
VANGUARD TECH SERVICES LLC,VANGUARD TECH SERVICES LLC,+96894967804,https://vanguard-techservices.com/,,+96894967804,"#14, BUILDING NO 233, WAY NO 281, PLOT NO 848, AL KHUWAIR, MUSCAT, SULTANATE OF OMAN, MUSCAT, OMAN"
Wipro UAE,WIPRO GULF LLC,,https://www.wipro.com/,,,"FLAT/SHOP NO 510, BUILDING 2795, ROAD/STREET 2835, AL SEEF, BLOCK 428, AL MANAMAH, BAHRAIN"
ZAIN SOLUTIONS,ZAIN SOLUTIONS,+96898271338,https://www.zainom.com/,info@zainom.com,"+968 7272 0046, 2040.1398, 96872720046, +96872720046, +96898271338","AL KHAWD / AL SEEB / MUSCAT GOVERNORATE, AL-SEEB, OMAN"
ZAK Solutions for Computer Systems,ZAK SOLUTION FOR COMPUTER SYSTEMS LLC,+97333828501,https://www.zaksolutions.com/,,+97333828501,"PO BOX 21348 ,MANAMA, VILLA 1962, ROAD 4155, BLOCK 341 , JUFFAIR, BAHRAIN"
