partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
ADVANCED COMMUNICATION & ELECTRONICS SYSTEMS COMPANY,ADVANCED COMMUNICATION & ELECTRONICS SYSTEMS COMPANY,+966547913835,https://www.aces-co.com,marketing@aces-co.com,"28640060, 02010100, 1342177279, 12205185, 76202567, 12342-3466, +966 11 2500444, 709791176","AL QAMRA 6366 AROUBA UNIT NO6, RIYADH, SAUDI ARABIA"
ADVANCED CONTROL SYSTEMS CONTRACTING COMPANY,ADVANCED CONTROL SYSTEMS CONTRACTING COMPANY,+966135166111,https://www.acstco.com/,info@acstco.com,"14001-2015, 10109287, 10624154, 45001-2018, +966 13 516 6111","EASTERN PROVINCE, KHOBAR, MADINAT AL UMAL , BLDG 7143, AL KHUBAR, SAUDI ARABIA"
ADVANCED DATA SYSTEMS,ADVANCED DATA SYSTEMS,+966126900056,http://www.adsys.net,info@adsys.net,920017666,"AL Humaidhi Center -Prince Sultan Street, 21492 AL Khalidiyah District, JEDDAH, SAUDI ARABIA"
ADVANCED DIAMOND TRADING COMPANY,ADVANCED DIAMOND TRADING COMPANY,+966553347725,https://www.adtc.com.sa,info@adtc.com.sa,"31536000, 966553347725, +966553347725","BUILDING NO 3800 STREET NO 8 OLAYA DISTRICT, RIYADH, SAUDI ARABIA"
Advanced Electronics Company Limited,SAMI ADVANCED ELECTRONICS COMPANY,96612201350,https://www.aecl.com,,,"BUILDING # 8062, KING KHALID INTERNATIONAL AIRPORT, Secondary # 2720, RIYADH, SAUDI ARABIA"
ADVANCED EXPERTS FOR INFORMATION TECHNOLOGY COMPANY,ADVANCED EXPERTS FOR INFORMATION TECHNOLOGY COMPANY,+966548222806,https://www.itzain.com,info@itzain.com,"+966-58-214-1584, 310123456789123, +20 109 4000 193, +966 58 214 1584, +20 109 9000 193, 713617399, +966 59 745 0909","AL ALIAA TOWER, AL QUBBAH ST, ISHBILIYAH, RIYADH 13225, SAUDI ARABIA, RIYADH, SAUDI ARABIA"
Advanced Gate Contracting Est.,Advanced Gate Contracting Est .,+966112255129,https://asysg.com.sa/,info@asysg.com.sa,,"RIYADH, ISHBILIYAH Dist. IMAM SAUD ROAD, RIYADH, SAUDI ARABIA"
ADVANCED INTELLIGENCE COMPUTING COMPANY,ADVANCED INTELLIGENCE COMPUTING COMPANY,+966530036566,https://www.aic2.com,,"911764705882353, 993006993006993, 492537313432836, 783333333333333, 888276947285602, 33333333333333, 171503957783641, 776595744680851, 992063492063492, 214285714285714, 819767441860465, 021276595744681, 457142857142857, 463013698630137","OLAYA CENTER, KING FAHAD, RIYADH, SAUDI ARABIA, RIYADH, SAUDI ARABIA"
ADVANCED MICRO TECHNOLOGIES COMPANY,ADVANCED MICRO TECHNOLOGIES,+966138100547,https://www.amt-arabia.net,info@amt-arabia.com,,"6455 KING FAHD ROAD, AL KHUBAR, SAUDI ARABIA"
ADVANCED SYSTEMS COMPANY LTD,ADVANCED SYSTEMS COMPANY LTD,+966114443535,https://www.atsc-sa.com,,"1001791558, 111123933","PO BOX 7416 UTHMAN BIN AFFAN ROAD, AT-TAAWUN DISTRICT, RIYADH, SAUDI ARABIA"
ADVANCED SYSTEMS JOINT COMPANY ASJ,ADVANCED SYSTEMS JOINT COMPANY ASJ,+966112080085,https://www.asjksa.com,"info@asjksa.com, raed.malki@asjksa.com, GM@asjksa.com","920000904, +966 5589 8055, +966 506201683, +966 11 2080085","6439 AL NAHDA ROAD, AR RABWAH RIYAD, RIYADH, SAUDI ARABIA"
ADVANCED SYSTEMS PIONEERS FOR COMMUNICATION AND INFORMATION TECHNOLOGY,ADVANCED SYSTEMS PIONEERS FOR COMMUNICATION AND INFORMATION TECHNOLOGY,+966505119160,https://www.asp-sa.com,"sales@asp-sa.com, info@asp-sa.com","0505119160, 310239683100003, 0530555124, 0535450001","8621 YANBU STREET DHAHRAT LABAN DISTRICT, BUILDING 3048, RIYADH, SAUDI ARABIA"
ADVANCED TECHNIQUES COMPANY,ADVANCED TECHNIQUES COMPANY,+966112330005,https://www.adtcs-sa.com/,info@adtcs-sa.com,+966 11 233 0005,"3321 PRINCE MAMDUH BIN ABDULAZIZ ST AS SULIMANIYAH, RIYADH, SAUDI ARABIA"
Advanced Technology Solutions Est,ADVANCED TECHNOLOGY SOLUTIONS COMPANY,+966112920184,https://advanced-technology.sa,,"565500054 966, 126502442 966, +31536000","D7 BINLADEN COMPLEX FARAZDAQ STREET MALAZ, RIYADH, SAUDI ARABIA"
ADVANCED TELECOMMUNICATION SOLUTIONS AND SERVICES COMPANY,ADVANCED TELECOMMUNICATION SOLUTIONS AND SERVICES COMPANY,+966567518545,https://www.atss.sa/,info@atss.sa,+966115051893,"AL MALEK SAUD, AL SULAIMANIYAH DIST, RIYADH, SAUDI ARABIA"
Afaq Advanced Solution for Communication and Information Technology,AAFAQ ADVANCED SOLUTIONS,+966114549191,http://www.aafaqtech.com,support@aafaqtech.com,100000000,"KHALID BIN AL WALEED ST AL HAMRA AREA, RIYADH, SAUDI ARABIA"
AFAQ AL MALAZ TRADING COMPANY,AFAQ AL MALAZ TRADING COMPANY,+966566593767,https://www.afaqmalaz.com/carre-creative/,it@afaqalmalaz.com,,"22 HOUSHANI TOWER, RIYADH, SAUDI ARABIA"
AFDAL TAQANI FOR GENERAL CONTRACT,AFDAL TAQANI FOR GENERAL CONTRACT,+966126165551,http://atc-ksa.com,info@atc-ksa.com,"+966 53 565 6578, +966 12 616 5551","ZAITUNA CENTER GROUND FLOOR OFFICE -4, JEDDAH, SAUDI ARABIA"
AFLAK ELECTRONIC INDUSTRIES CO.LTD,AFLAK ELECTRONIC INDUSTRIES CO.LTD,+966126736677,https://www.aflak.com.sa,"supportj@aflak.com.sa, sales@aflak.com.sa, supportr@aflak.com.sa, supportk@aflak.com.sa","961884331, 22899430479, 23412-7466, 22198054466, 12222-7326, +966-11-4657722, +966-12-6736677, +966-13-8986549, +966-11-4661323, +966-13-8311344, 414141 100, 22264346870, +966-12-6554516, 59167257, 34426-2658, +966-13-8644070, 22893335169","PRINCE SULTAN ROAD, JEDDAH, SAUDI ARABIA"
Aflak Solutions for Communications & IT,AFLAK SOLUTIONS FOR COMMUNICATIONS & IT,+966920009947,http://www.aflaksolutions.com/Home,info@aflaksolutions.com,+966920009947,"MALAZ, RIYADH, SAUDI ARABIA"
Ahmad Hamad Al Shutaili Est,AHMAD HAMAD AL SHUTAILI EST,+966114888583,https://2point0concepts.com,"sales@2point0concepts.com, supplier@2point0concepts.com, hello@2point0concepts.com","42857143, +971 04 326 5376, +971 4 422 9757, 829135507, +965 2 2204967, +966 11 200 2112, +971 4 326 5376, 255 255 255, 99988571428568, 456786456","3 AKARIA, OFFICE 513, RIYADH, SAUDI ARABIA"
AI SILK LTD COMPANY,AI SILK LTD COMPANY,+966554030703,https://www.hoistgroup.com,example@domain.com,"007236235, 2147483647, 6666666667, 2147483646, 3333333333, 645882631063729, 2147483645","KING SAUD IBN ABDULAZIZ SAUD, AL MURABBA DIST, RIYADH, SAUDI ARABIA"
AI TECHNOLOGIES SAUDI ARABIA,AI TECHNOLOGIES SAUDI ARABIA,+966541851818,https://www.aitechso.sa,"Sales@aitechso.sa, Support@aitechso.sa",,"44 IBN KATHEER ST KING ABDUL AZIZ ROAD, RIYADH, SAUDI ARABIA"
AJYAL FOR COMMUNICATION AND INFORMATION TECHNOLOGY,AJYAL FOR COMMUNICATION AND INFORMATION TECHNOLOGY,+966554405750,https://ajyal-co.com,,"8571428571, 3333333333333, 9444444444444, 5555555555556, 77777777777778, 6666666666667, 3888888888889, 1111111111111, 240244954, 72222222222222, 00000057, 7777777777778, 83333333333333","ALYASMEEN DIST ANAS IBN MALIK STREET, FLOOR 1, RIYADH, SAUDI ARABIA"
AL AFKAR AL MUBHERA FOR INFORMATION TECHNOLOGY,AL AFKAR AL MUBHERA FOR INFORMATION TECHNOLOGY,+966539219996,https://mubhera.com/,info@mubhera.com,10929188,"AL ARUBA, RIYADH, SAUDI ARABIA"
Al Arabiya Systems Engineering,AL ARABIYA SYSTEMS ENGINEERING,+966114600507,https://www.ase.sa/,"Sales@ase.sa, info@ase.sa","920017647, 966 11) 462 0507","MMPQ5VW, AL OLAYA, RIYADH 12221, RIYADH, SAUDI ARABIA"
AL ATKAAL COMPANY LTD,AL ATKAAL COMPANY LTD,+966553075372,https://atkaal.com.sa/,sales@atkaal.com.sa,"52127441, +966-13-8055581, +966 13 805 5581","5TH FLOOR AL-MEFLAH BUILDING AL KHOBAR KINGDOM OF, AL KHUBAR, SAUDI ARABIA"
AL AWADI UNITED TRADING COMPANY,AL AWADI UNITED TRADING COMPANY,+966133488062,https://awadiunited.com,info@awadiunited.com,+966 13 384 8062,"OLD MAKKAH STREET, BUILDING NO3489, JEDDAH, SAUDI ARABIA"
AL ESNAD EST FOR MILITARY SUPPLIES,AL ESNAD EST FOR MILITARY SUPPLIES,+966114770721,https://al-esnad.com.sa/,"info@al-esnad.com.sa, factory@al-esnad.com.sa","+966114787116, +966114770721","6856 ALQADI ALYAS MALAZ RIYADH SAUDI ARABIA, RIYADH, SAUDI ARABIA"
Al Faris National Company for Information Technology,AL FARIS NATIONAL COMPANY FOR INFORMATION TECHNOLOGY,+966504435140,https://optimiza.me/,,,"8162 - KING FAHAD BRANCH STREET, 3701 - AL Olaya District, RIYADH, SAUDI ARABIA"
AL FUTTAIM ENGINEERING & TECHNO COMPANY,AL FUTTAIM ENGINEERING & TECHNO COMPANY,+966122252800,https://afet.com/,,,"AL MADINA ROAD WESAL BUILDING 7575 NORTH GATE FIFT, JEDDAH, SAUDI ARABIA"
AL HAIL INFORMATION TECHNOLOGY SYSTEM COMPANY,AL HAIL INFORMATION TECHNOLOGY SYSTEM COMPANY,+966552764261,https://techtrixsystem.sa,"info@techtrixsystem.sa, sales@techtrixsystem.sa","46161646, 61067559, 00000057, 3221225472","2399 ABI ZAKARIYA IBN AL AWWAM UTAIQAH, RIYADH, SAUDI ARABIA"
AL HASHEMIAH CONTRACTING COMPANY,AL HASHEMIAH CONTRACTING COMPANY HATCO,+966114647419,https://www.hatco.com.sa,hatco@hatco.com.sa,"17446446499565, +966114647419, 530306060606065, 17448386334490, 10904361, 48479393939394, 98481515151515, 11 465-7304, 24237878787879, 90905757575758, 181742424242422, 17448386334491, 90902121212121, 11 464-7419, 17446446499560, 17446446499563, 84845151515152, 4-744868182, 17446446499562, 17446446499561, 17446446499564, 1010208002","7759 PRINCE ABDUL AZIZ IBN MUSAID IBN JALAWI STREE, RIYADH, SAUDI ARABIA"
Al huluol al taqniyya al mutatiwwera al arabiyya,AL HULUOL AL TAQNIYYA AL MUTATIWWERA AL ARABIYYA,+966-115121989,https://www.al-huloul.com,info@ats.ae,"434046801, 2919921875, +97126392440, +9661151521989","AL-ROSSAIS COMMERCIAL CENTER, 3857 OLAYA STREET, AL OLAYA, RIYADH, SAUDI ARABIA"
AL ITSALAT AL SAHLA FOR COMMUNICATIONS AND INFORMATION TECHNOLOGY,AL ITSALAT AL SAHLA FOR COMMUNICATIONS AND INFORMATION TECHNOLOGY,599258995,https://www.easylink-ksa.com/,,"21568340, 197077751, 15550450, 659991568340, 43844460, 905890231149, 31568340, 905890231197, 691436264, 079997359, 0 0 512 512, 905890231194, 99125353, 905890231147, 905890231198, 81568340, 905890231195, 691435574, 14740450, 90589023114, 15758450, 905890231146, 0 0 256 256, 905890231193, 691435254, 691435754, 789224492, 663021568340, 905890231148, 99125344, 99125335, 905890231196, 689269891, 658061568340","طريق أنس ابن مالك، 98, RIYADH 13326, SAUDI ARABIA, RIYADH, SAUDI ARABIA"
AL KHALEEJ COMPUTERS & ELECTRONICS SYSTEMS,AL-KHALEEJ COMPUTERS & ELECTRONICS SYSTEMS,+966114632143,https://alkhaleej.com.sa,,"9999999999, 1000001701, 223 223 223, 1000001462, 00000021, 115100350, 012-6191905, 1000001510, 4136727437506, 233298511, 552255490, 114082109, 1000001485","OLAYA MAIN STREET, RIYADH, SAUDI ARABIA"
AL KHALEEJ TRAINING AND EDUCATION COMPANY,AL-KHALEEJ TRAINING AND EDUCATION COMPANY,+966115108510,https://www.alkhaleej.com.sa,,"9999999999, 1000001701, 223 223 223, 1000001462, 00000021, 115100350, 012-6191905, 1000001510, 4136727437506, 233298511, 552255490, 114082109, 1000001485","PO BOX 295300, RIYADH, SAUDI ARABIA"
AL KHALIJ AL THIAR,AL KHALIJ AL THIAR,+966557544028,https://www.gscl.com.sa,info@gscl.com.sa,"62626280, 12837-7662, +966 50 085 0270","8011 MUSAB BIN UMAIR, RIYADH, SAUDI ARABIA"
Al Mada Smart Compnay,AL MADA SMART COMPNAY,+966558334433,https://www.almada.net.sa,,,"MADINA ROAD, JEDDAH, SAUDI ARABIA"
AL MANNAI INFORMATION TECHNOLOGY LLC,AL MANNAI INFORMATION TECHNOLOGY LLC,+966115062013,https://mannai-ict.com/,ict.info@mannai.com.qa,"2-9937-9425, 111372523, 582-122401, 65815790, 62057895, 758702626, +974) 4455 8888, 1494576021525, 6-4267-434, +974) 4455 8558","OFFICE BLDG NO 2975- AL WOROUD DIST, RIYADH, SAUDI ARABIA"
AL MARHALA AL TALIYA,AL MARHALA AL TALIYA,+966920009606,https://www.neveltech.sa,info@neveltech.sa,+966 920009606,"7703 OTHMAN BIN AFFAN STREET, RIYADH, SAUDI ARABIA"
Al Matbouli Sound & Communications,AL MATBOULI SOUND & COMMUNICATIONS,96612252225,https://www.umg.com.sa,,,"MATBOULI PLAZA, 2ND FLOOR, AL MAADY ST. RUWAIS DIST., JEDDAH, SAUDI ARABIA"
Al Mehwar Net for Technology & Communications Co.,Al-Mehwar Net For Technology & Communications Co,96611476633,https://www.al-mehwar.net,info@al-mehwar.net,"966114766333, 966114762340","Mani Al Muraidi – Irqah-Unit No-9, Building No: 3964, RIYADH, SAUDI ARABIA"
AL MUKHTAR AL AWFAR TRADING COMPANY,AL MUKHTAR AL AWFAR TRADING COMPANY,+966537827445,https://unifiedplanet-sa.com,info@unifiedplanet-sa.com,"162947308, +966-56 338 6535","AMIR MAJED ROAD INTERSECTION AL TADAMOUN STREET, JEDDAH, SAUDI ARABIA"
AL MULLA ARABIAN CONTRACTING COMPANY,AL MULLA ARABIAN CONTRACTING COMPANY,+966138113164,https://www.almullagroup.com,info@almullagroup.com,"57644229, 3864544990, 2147483647, 184275001, +965 2225 0880, +965 2225 0990, +965 2225 0888, 56857917, +965 2225 0999","2857-2925 PRINCE SULTAN ROAD AL ANDALUS AL KHOBAR, 34437, AL KHUBAR, SAUDI ARABIA"
AL MUTLAQ UNITED COMPANY,AL MUTLAQ UNITED COMPANY,+966138579206,https://www.almutlaqunited.com,info@almutlaqunited.com,"10864954202, +966 13 857 9206, +966138579206","DAMMAM KHOBAR HIGHWAY, OPP. TO DAMMAM DRIVING SCHOOL, DAMMAM, SAUDI ARABIA"
AL RAJHI TELECOM COMPANY,AL RAJHI TELECOM,+966583319977,http://www.alrajhitel.com,Info@alrajhitel.com,"69201429, 11 4221089, 12612-3138","7687 King Fahad Branch Road Al Murabba Dist Unit No:147, RIYADH, SAUDI ARABIA"
AL RANA TOWERS FOR TELECOM & IT YOTTA,AL RANA TOWERS FOR TELECOM & IT (YOTTA),920017105,https://www.yotta.co,,,"7644 SALAHUDDIN AL AYYUBI 4382 KING ABDULAZIZ DIST, RIYADH, SAUDI ARABIA"
Al Riqa Establishment,AL RIQA INTERNATIONAL COMPANY LTD,+966561124727,https://sfda.gov.sa,,"141667814, +966-112038222","JEDDAH, JEDDAH, SAUDI ARABIA"
Al Rushaid Technologies Co.,AL RUSHAID TECHNOLOGIES COMPANY,+96638914084,https://www.artco.co/,"info.tech@al-rushaid.com, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com","40127106, 3299999237061, 8-4422-892, 27001-2013, 23371454, 38185301, 808583553, 23593974, 2545352419, 9499998092651, 27757599, 3900001049042, 9900000095367, 797-737028, 16324-0592, 66-9288-242, 5-7847-8725-1386, 61-1220673, 14286220, 3-4576-884, 009-0726-0577-9168, +966 13 8914084, 280430136, 82932603, 305748904845, 9000000953674, 6000003814697, 3-4603-8125, 84-4199-887, 8-4947-4831, 4700002670288, 2568835-6945, 01437002711, 89999961853, 9392-5604-1148, 79082550, 107430857, 13-6906-4885-8872, 25507953, 1-4717-9175, 44024-2124-1681, 86-7732495, 48291015625, 14299227, 989999771118, 4899997711182, 84-072604939, 1344-9951-433, 9976-963695, 5899999141693, 8900001049042, 2-2827-4671, 74290729, 20-4105-9040, 4900000095367, 9899997711182, 39-8049-036, 700-8487-6366, 9-4433-9111, 78076171875, 276772-911, 14001-2015, 56447649, 770-5987-4628-852, 62108362, 632205-4245, 7-127636169234, 29178430, 029050-6511, 60441845, 14424-7203-841, 0-4576-933, 289999961853, 14380-3112, 369602912961317, 2147483648, 6300001144409, 2-5350-6322-487, 71200017, 40259318, 45001-2018, 076-4753-8303, 10033243, 33456921, 2147483647, 26790905, 7-8402-8757, 18717900, 64400038-463, 0-9681-990, 64395673, 635-8505-3391-9791, 56234440, 78431639, 5900001525879, 7-2112895, 439999580383, 54548245, 6700000762939, 309-7865384, 579329-359, 734527084, 1100000870, 8976823817, 78848-7403, 436-106728, 14409595, 2128011436, 081396-8648-4657, 799535511, 9500000476837, 13680446-8836, 956-1227-4786-938","KING SAUD ROAD, AL DHAHRAN, SAUDI ARABIA"
AL Saddaqa Information Solutions Trading,AL SADDAQA INFORMATION SOLUTIONS TRADING,+966126760020,https://www.alsadaqa.com.sa,"info@alsadaqa.com.sa, Sales-info@alsadaqa.com.sa","+966-12-676-0020, +966-12-674-3019","KING MOHAMMAD BIN ABDULAZIZ STREET, JEDDAH, SAUDI ARABIA"
Al Sawab Trading Est Right IT,RIGHT COMPUTER  ALSAWAB COMP,+966143226630,http://rightitgroup.com/,,"0 0 448 512, 34700259, 195151 05349844, 0 0 384 512, 665612984, 2759559-457, 966559195151, 32335589960, 70647104, 105588598, 47 0558195151, 18579847, 5350470223, 78798984, 98522692509, 11512706471, 863499085, 0 0 512 512, 072478273723047, 014 322 6630 0559, 52512266, 0534984447, 4 117 243 168, 348065832, 97778-473, 0434010396, 1057325-2254, 014 322 6630, 90788395, 0558195151, 723811541, 82739207, 9390210442, 0559195151, 964639443, 8884870185, 65671981-452, 56214187, 11404327, 95905670, 82921939, 8610074-538, 267 435 384 279, 1 0 416 208, 6611913164, 0599347113, 37598970286, 706746826987308, 401328092556, 715941921, 97242776, 217448-2500, 943361674540, 820339-2500","KING ABDULAZEEZ STREET, YANBU', SAUDI ARABIA"
al tall alawal,AL TALL AL AWAL TRADING EST,+966594044499,https://al-tall.com,info@al-tall.com,"+966 11 4044499, +966 59 4044499","11455, RIYADH, RIYADH, SAUDI ARABIA"
AL THOLATHYA AL AMMAH INFORMATION TECHNOLOGY ATIT,AL THOLATHYA AL AMMAH INFORMATION TECHNOLOGY ATIT,+966118274146,https://www.atit-sa.net,"sales1@atit-sa.net, info@atit-sa.net","999999999, +966569144501, +966118274146","BUILDING S4 RIYADH BUSINESS FRONT, AIRPORT RD, RIYADH, SAUDI ARABIA, RIYADH, SAUDI ARABIA"
AL WASAEL AL DHAKIA FOR INFORMATION TECHNOLOGY,AL WASAEL AL DHAKIA FOR INFORMATION TECHNOLOGY,+966503122535,https://smarttools-sa.com/,,"333333333333332, 33333333333334, 666666666666664, 66666666666666","SAUDI ARABIA, RIYADH, RIYADH, SAUDI ARABIA"
AL WATANIA INFORMATION SYSTEMS,AL WATANIA INFORMATION SYSTEMS,96659549679,https://www.wisys.com.sa,,,"RIYADH MAIN STREET, RIYADH, SAUDI ARABIA"
AL-ENJAZ AL-MUTAMAYIZ INFORMATION TECHNOLOGY ESTABLISHMENT,AL-ENJAZ AL-MUTAMAYIZ INFORMATION TECHNOLOGY ESTABLISHMENT,537517707,https://www.enjaz.com,,"66206973206, 656374696, 637265617465456, 737263203, 646572696, 696541727261793, 6765737473203, 697428223, 0909627265616, 646566696, 227765626, 696541727261795, 647329207, 742822706, 76657273696, 63686172436, 736522293, 7561746522293, 797374722, 206576616, 090909636, 72646572222, 636573732, 090909747279207, 677468222, 662866696, 20646174652, 20657874656, 656422297, 20766172206, 54537472696, 69726573203, 226576616, 722028766172206, 20747279207, 09736574496, 207365636, 7641727261792, 0909747279207, 747970656, 6965732829207, 6528646174652, 65642229207, 63617073756, 274327222, 662865787429203, 67657454696, 0909726573203, 2270756666696, 662872657329203, 726179203, 246364635, 20706174683, 67756167653, 576562474, 20697320756, 6469676573743, 7472756522293, 0909766172206, 0909090969203, 637075436, 090969662028634, 70666876635, 657874203, 69657328293, 74657874222, 090976617220636, 742822696, 6176696761746, 6520697320756, 697455524, 6628226922293, 0972657475726, 09747279207, 286529207, 999999999, 672829293, 7973747229207, 20736574496, 7363726970745, 764172726179202, 74206576616, 537472696, 090909627265616, 0909726573202, 7420612066756, 097661722063203, 544653523, 73637075222, 207265733, 677468293, 090909666, 09090909656, 677468203, 0976617220636, 22617765736, 207265732, 696541727261792, 090909097, 70657261222, 74657374286, 696573203, 2874657374293, 65792929207, 7069726573203, 226368726, 09097472797, 617373222, 646541742869293, 696768746, 652829202, 697428272, 73657454696, 757263653, 617265222, 090909656, 636170436, 66286576616, 207641727261792, 742874657374202, 656374222, 696528225, 697428222, 0909646174652, 2074657374286, 446576696365222, 646578222, 0976617220634, 656422293, 617375746, 6465555249436, 657874656","NORTH MATHER DIST - FATEH ALLAH ALSHAFEE, RIYADH, SAUDI ARABIA"
Al-Fares Advanced Contracting Company,Al-Fares Advanced Contracting Company,+966599504857,https://www.alfaressa.com,micah@micahrich.com,33333333333333,"PRINCE KHALED IBN BANDAR IBN ABDUL AZIZ ST AL-ARID, RIYADH, SAUDI ARABIA"
AL-HAKBANI INFORMATION TECHNOLOGY,AL-HAKBANI INFORMATION TECHNOLOGY,+966114808085,https://www.nutechits.com,hellofriend@thegravityteam.com,903) 800-0001,"AL HAKBANI BUSINESS COMPLEX BLDG 1, RIYADH, SAUDI ARABIA"
Al-Kam Telecommunication,Al-Kam Telecommunication,+966138877207,,,,"PRINCE TURKEY STREET, AL KHUBAR, SAUDI ARABIA"
AL-MAYSSAN TECHNICAL SERVICES,ALMAYSSAN TECHNICAL SERVICES,+96626676251,https://www.almayssan.com,,291432378,"PO BOX 9539, JEDDAH, SAUDI ARABIA"
